1,Wallets,MetaMask,https://metamask.io,"Ethereum, Arbitrum, Base, Polygon, Binance Smart Chain, Optimism",Billetera de custodia propia (hot wallet) para gestionar activos e interactuar con aplicaciones descentralizadas en redes EVM.
1,Wallets,Rabby Wallet,https://rabby.io,"Ethereum, Base, Arbitrum, Polygon, Binance Smart Chain","Billetera optimizada para DeFi con seguridad mejorada, visualización multired y desglose detallado de protocolos y transacciones."
1,Wallets,Phantom Wallet,https://phantom.app,"Solana, Ethereum, Polygon","Billetera digital de autocustodia para gestionar activos, NFTs y conectarse a aplicaciones descentralizadas, principalmente en Solana."
1,Wallets,Trezor,https://trezor.io,"Bitcoin, Solana, Ethereum, Multichain",Billetera de hardware (cold wallet) para la custodia segura de claves privadas fuera de línea.
1,Wallets,Ledger,https://www.ledger.com,Multired,Dispositivo físico para el almacenamiento seguro de criptomonedas y protección de claves privadas.
1,Wallets,Trust Wallet,https://trustwallet.com/,Multired,"Billetera con biometría digital de autocustodia para gestionar activos, NFTs y conectarse a aplicaciones descentralizadas."
2,DEXs,Uniswap,https://app.uniswap.org,"Ethereum, Base, Binance Smart Chain, Polygon, Arbitrum, Solana, Optimism",Intercambio de tokens y creación de pools de liquidez concentrada (V3/V4) para generar comisiones por intercambio.
2,DEXs,Meteora,https://www.meteora.ag,Solana,Creador de mercado de liquidez dinámica (DLMM) que permite concentrar liquidez en bins y maximizar comisiones mediante estrategias dinámicas.
2,DEXs,Orca,https://www.orca.so,Solana,Protocolo de intercambio y pools de liquidez concentrada (Whirlpools) eficiente en la red Solana.
2,DEXs,Raydium,https://raydium.io,Solana,"Protocolo de intercambio, provisión de liquidez y farming de tokens en el ecosistema Solana."
2,DEXs,Hyperliquid,https://hyperliquid.xyz,Hyperliquid L1,Intercambio descentralizado especializado en futuros perpetuos con libro de órdenes.
2,DEXs,Curve,https://curve.fi,"Ethereum, Polygon, Arbitrum",Exchange descentralizado especializado en el intercambio eficiente de monedas estables.
2,DEXs,QuickSwap,https://quickswap.exchange,Polygon,Exchange descentralizado nativo de la red Polygon basado en el modelo AMM.
2,DEXs,Asterdex,https://www.asterdex.com,Not in source,Protocolo para el intercambio de activos y trading descentralizado.
3,Visualizador,DeBank,https://debank.com,"Multichain (Ethereum, Base, Binance Smart Chain, etc.)","Seguimiento de carteras on-chain para visualizar saldos, deudas, historial de transacciones y posiciones en protocolos DeFi."
3,Visualizador,DeFiLlama,https://defillama.com,Multichain,"Análisis de datos on-chain, valor total bloqueado (TVL), volúmenes, comisiones, rendimientos y matrices de correlación."
3,Visualizador,Coingecko,https://www.coingecko.com,Multichain,"Portal informativo de mercado que proporciona cotizaciones, capitalización, datos técnicos de tokens y enlaces oficiales."
3,Visualizador,DexScreener,https://dexscreener.com,Multichain,"Gráficos en tiempo real, seguimiento de transacciones y análisis de liquidez en exchanges descentralizados."
3,Visualizador,CoinMarketCap,https://coinmarketcap.com,Multired,"Agregador de datos de mercado, seguimiento de precios, capitalización y estadísticas de criptoactivos."
3,Visualizador,GeckoTerminal,https://www.geckoterminal.com/es,Multi-red,Herramienta de gráficos y datos en tiempo real para pares de trading en DEXs.
3,Visualizador,TradingView,https://www.tradingview.com,N/A,Herramienta de análisis técnico profesional para graficar precios de múltiples mercados financieros.
3,Visualizador,USDC (Circle),https://www.circle.com/en/usdc,"Ethereum, Solana, Polygon, Base, Arbitrum",Stablecoin respaldada 1:1 por dólares estadounidenses en reservas auditadas.
3,Visualizador,USDT (Tether),https://tether.to/es/,"Ethereum, Tron, Solana, Celo",Stablecoin vinculada al dólar utilizada para liquidez y transferencias rápidas.
3,Visualizador,The Graph (GRT),https://thegraph.com,Multichain,Protocolo descentralizado para indexar y consultar datos de diversas blockchains.
3,Visualizador,Chainlink,https://chain.link,Multichain,Red de oráculos descentralizados que suministra datos externos a contratos inteligentes.
